52,玉米筍,food3,,,50,13.5,,0.1,1,2.65,95,1,7,12.5,28,1.95,0.25,1271125075,1271125075
54,木耳,food3,,木耳炒鳳梨.jpg,20,7,,0.06,0.18,1.54,8,5.6,6.6,3,3.4,0.22,0.02,1271125075,1271125075
55,鳳梨,food4,,,80,36.8,,0.16,0.72,9.28,32,0.8,14.4,11.2,6.4,0.16,0.4,1271125075,1271125075
57,包心白菜,food3,,白菜滷.jpg,80,9.6,,0.16,0.88,1.44,148.8,12,32.8,8,28,0.32,0.32,1271125075,1271125075
58,木耳,food3,,,10,3.5,,0.03,0.09,0.77,4,2.8,3.3,1.5,1.7,0.11,0.01,1271125075,1271125075
60,玉米粒,food3,,玉米粒炒蛋.jpg,50,46.5,,0.3,1.05,9.9,95,115.5,1,7.5,28.5,0.25,0.2,1271125075,1271125075
63,甜不辣,food3,,甜不辣炒玉米筍.jpg,20,34.8,,0.92,2.48,4.22,19.2,136.8,3.4,3,22,0.14,0.04,1271125075,1271125075
64,玉米筍,food3,,,80,21.6,,0.16,1.6,4.24,152,1.6,11.2,20,44.8,3.12,0.4,1271125075,1271125075
66,鮮乳(低脂),food5,,鮮乳(低脂).jpg,200,92,,3.4,6.4,8.8,318,104,214,40,184,0.2,0.8,1271125075,1271125075
67,五香豆干,food2,,豆干西洋芹炒素腰花.jpg,20,38.2,,1.94,3.86,1.4,50.2,89,54.6,13.4,58.2,1.1,0.44,1271125075,1271125075
68,美國芹菜,food3,,,50,6.5,,0.1,0.2,1.3,115,50,18,5,11,0.15,0.1,1271125075,1271125075
69,素腰花,food3,,,50,0,,0,0,0,0,0,0,0,0,0,0,1271125075,1271125075
71,苦瓜,food3,,豆豉苦瓜.jpg,100,18,,0.2,0.8,3.7,160,11,24,14,41,0.3,0.2,1271125075,1271125075
72,豆豉(黑豆),food7,調味料,,5,13.3,,0.63,1.1,0.825,43,255.65,7.2,5.9,13.85,0.285,0.14,1271125075,1271125075
74,低筋麵粉,food7,零食點心,沙其馬.jpg,20,72.4,,0.24,1.68,15.48,30.6,0.4,3.6,5.8,11.2,0.16,0.12,1271125075,1271125075
75,紅砂糖,food7,調味料,,10,38.5,,---,--,9.94,6.1,0.3,0.6,1.1,0.1,--,0.01,1271125075,1271125075
77,傳統豆腐,food2,,豆瓣豆腐.jpg,100,88,,3.4,8.5,6,180,2,140,33,111,2,0.8,1271125075,1271125075
78,豆瓣醬,food7,調味料,,5,8.85,,0.405,0.71,0.61,34.45,252.1,0.95,4.6,11.55,0.155,0.065,1271125075,1271125075
80,茄子,food3,,豆瓣茄子.jpg,100,25,,0.4,1.3,4.7,200,4,18,14,28,0.4,0.2,1271125075,1271125075
83,大里肌(豬),food2,,炸豬排.jpg,90,168.3,,9.18,19.98,---,323.1,31.5,0.9,20.7,34.2,0.54,1.53,1271125075,1271125075
85,包心白菜,food3,,炒大白菜.jpg,100,12,,0.2,1.1,1.8,186,15,41,10,35,0.4,0.4,1271125075,1271125075
